error	steps
34101234449.0	981.0
34098771739.0	982.0
34095331155.0	983.0
34092885171.0	984.0
34091910737.0	985.0
34086833542.0	986.0
34081952544.0	987.0
34080435470.0	988.0
34077082529.0	989.0
34072211685.0	990.0
34070575224.0	991.0
34066862084.0	992.0
34064385802.0	993.0
34062280104.0	994.0
34056402154.0	995.0
34053953305.0	996.0
34052265365.0	997.0
34049687256.0	998.0
34047621978.0	999.0
34046286228.0	1000.0
34044201546.0	1001.0
34035878738.0	1002.0
34033589071.0	1003.0
34027100515.0	1004.0
34025172841.0	1005.0
34020356624.0	1006.0
34015852782.0	1007.0
34011871153.0	1008.0
34006090023.0	1009.0
34002746727.0	1010.0
34000459858.0	1011.0
33996874416.0	1012.0
33992669702.0	1013.0
33976184656.0	1014.0
33974958647.0	1015.0
33969942666.0	1016.0
33967851312.0	1017.0
33966151880.0	1018.0
33963885963.0	1019.0
33960674369.0	1020.0
33957608076.0	1021.0
33956917512.0	1022.0
33942591467.0	1023.0
33939143718.0	1024.0
33936328453.0	1025.0
33933972901.0	1026.0
33931236830.0	1027.0
33930417965.0	1028.0
33928405681.0	1029.0
33927926005.0	1030.0
33925439955.0	1031.0
33919670356.0	1032.0
33917242175.0	1033.0
33911694507.0	1034.0
33910661453.0	1035.0
33906753731.0	1036.0
33905941179.0	1037.0
33904414238.0	1038.0
33903301444.0	1039.0
33901580417.0	1040.0
33894900458.0	1041.0
33892946518.0	1042.0
33890474256.0	1043.0
33889686543.0	1044.0
33880119127.0	1045.0
33879227035.0	1046.0
33876950334.0	1047.0
33874916606.0	1048.0
33871901515.0	1049.0
33868291108.0	1050.0
33867409744.0	1051.0
33864753567.0	1052.0
33856626986.0	1053.0
33853968174.0	1054.0
33851153325.0	1055.0
33847111006.0	1056.0
33840795363.0	1057.0
33840354107.0	1058.0
33838000608.0	1059.0
33835576407.0	1060.0
33835048244.0	1061.0
33826652066.0	1062.0
33826041059.0	1063.0
33820298562.0	1064.0
33815079441.0	1065.0
33809346130.0	1066.0
